trade_id,isin,security_name,quantity,price,trade_date,settlement_date,settlement_cycle,counterparty_id,counterparty_type,exchange,buy_sell,currency,source_system,segment
TRD-00019,INE528G01035,SHRIRAM FINANCE,225,2455.7192,2026-06-01,2026-06-02,T1,BRK-001,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00020,INE009A01021,INFOSYS,1000,1614.1073,2026-06-01,2026-06-01,T0,BRK-002,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00021,INE467B01029,TATA CONSULTANCY SERVICES,45,3558.0158,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00022,INE550C01020,TV TODAY NETWORK,4,232.6223,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00023,INE03VK01010,CARTRADE TECH,4,627.5543,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00024,INE129A01019,GAIL (INDIA),3800,181.6528,2026-06-01,2026-06-02,T1,BRK-001,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00025,INE205A01025,SIEMENS,1400,5855.9790,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00026,INE795G01014,POWER GRID CORPORATION,70,311.0223,2026-06-01,2026-06-02,T1,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00027,INE528G01035,SHRIRAM FINANCE,3600,2691.8038,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00028,INE550C01020,TV TODAY NETWORK,3000,219.5310,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00029,INE576I01022,GRINDWELL NORTON,40,2101.8387,2026-06-01,2026-06-02,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00030,INE018A01030,LARSEN & TOUBRO,10000,3597.4082,2026-06-01,2026-06-01,T0,BRK-001,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00031,INE092T01019,ZOMATO,3200,229.9826,2026-06-01,2026-06-02,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00032,INE104S01021,UJJIVAN SFB,70,41.0638,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00033,INE040A01034,HDFC BANK,2500,1776.3117,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00034,INE148O01018,EID PARRY (INDIA),10000,755.9508,2026-06-01,2026-06-02,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00035,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,160,1362.5174,2026-06-01,2026-06-02,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00036,INE059B01024,RAIN INDUSTRIES,225,139.7943,2026-06-01,2026-06-02,T1,BRK-003,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00037,INE238A01034,AXIS BANK,50,1084.6892,2026-06-01,2026-06-02,T1,BRK-002,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00038,INE019A01038,WIPRO,7000,444.3586,2026-06-01,2026-06-02,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00039,INE361B01024,CANARA BANK,500,116.6831,2026-06-01,2026-06-02,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00040,INE259A01022,GODREJ CONSUMER PRODUCTS,400,1243.8843,2026-06-01,2026-06-02,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00041,INE467B01029,TATA CONSULTANCY SERVICES,150,3813.7937,2026-06-01,2026-06-02,T1,BRK-006,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00042,INE467B01029,TATA CONSULTANCY SERVICES,70,3461.0648,2026-06-01,2026-06-02,T1,BRK-005,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00043,INE160A01022,NESTLE INDIA,1100,2428.3689,2026-06-02,2026-06-03,T1,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00044,INE044A01036,DABUR INDIA,500,599.9219,2026-06-02,2026-06-02,T0,BRK-001,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00045,INE044A01036,DABUR INDIA,20,552.1906,2026-06-02,2026-06-03,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00046,INE576I01022,GRINDWELL NORTON,375,2109.8395,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00047,INE795G01014,POWER GRID CORPORATION,2600,337.0735,2026-06-02,2026-06-03,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00048,INE03VK01010,CARTRADE TECH,50,660.5381,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00049,INE062A01020,STATE BANK OF INDIA,300,825.5365,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00050,INE092T01019,ZOMATO,2400,241.7793,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00051,INE176A01028,BAJAJ FINANCE,7500,7104.9021,2026-06-02,2026-06-02,T0,BRK-006,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00052,INE129A01019,GAIL (INDIA),750,183.5352,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00053,INE761H01022,AFFLE (INDIA),100,1148.8613,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00054,INE545U01014,NAZARA TECHNOLOGIES,900,807.8576,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00055,INE238A01034,AXIS BANK,40,1158.0112,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00056,INE044A01036,DABUR INDIA,500,547.4443,2026-06-02,2026-06-03,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00057,INE104S01021,UJJIVAN SFB,950,43.1663,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00058,INE726G01019,TRENT,1500,5416.7331,2026-06-02,2026-06-03,T1,BRK-003,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00059,INE062A01020,STATE BANK OF INDIA,175,846.4744,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00060,INE03VK01010,CARTRADE TECH,35,588.5120,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00061,INE795G01014,POWER GRID CORPORATION,100,338.7147,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00062,INE104S01021,UJJIVAN SFB,2000,50.2181,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00063,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,5500,705.8109,2026-06-02,2026-06-03,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00064,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,65,748.8445,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00065,INE550C01020,TV TODAY NETWORK,50,228.6685,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00066,INE047A01021,TITAN COMPANY,425,3252.1512,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00067,INE03VK01010,CARTRADE TECH,950,630.7336,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00068,INE585B01010,MARUTI SUZUKI,30,12135.8112,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00069,INE669E01016,BHARTI AIRTEL,100,1589.3510,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00070,INE148I01020,POLICYBAZAAR (PB FINTECH),950,1798.3549,2026-06-02,2026-06-02,T0,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00071,INE062A01020,STATE BANK OF INDIA,30,785.3674,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00072,INE528G01035,SHRIRAM FINANCE,650,2729.9367,2026-06-02,2026-06-03,T1,BRK-006,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00073,INE545U01014,NAZARA TECHNOLOGIES,100,756.7763,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00074,INE090A01021,ICICI BANK,950,1156.8394,2026-06-02,2026-06-03,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00075,INE483S01020,LATENT VIEW ANALYTICS,300,539.6335,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00076,INE545U01014,NAZARA TECHNOLOGIES,6000,819.4192,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00077,INE585B01010,MARUTI SUZUKI,650,12938.9924,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00078,INE148I01020,POLICYBAZAAR (PB FINTECH),400,1891.0554,2026-06-02,2026-06-02,T0,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00079,INE124N01016,ANGEL ONE,7000,2127.1020,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00080,INE761H01022,AFFLE (INDIA),1000,1090.7116,2026-06-02,2026-06-03,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00081,INE467B01029,TATA CONSULTANCY SERVICES,18,3583.5958,2026-06-02,2026-06-03,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00082,INE545U01014,NAZARA TECHNOLOGIES,700,891.9031,2026-06-02,2026-06-03,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00083,INE148I01020,POLICYBAZAAR (PB FINTECH),500,1752.4723,2026-06-02,2026-06-03,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00084,INE154A01025,ITC,1700,443.3586,2026-06-02,2026-06-03,T1,BRK-001,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00085,INE917I01010,AVENUE SUPERMARTS (DMART),150,3869.2903,2026-06-02,2026-06-03,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00086,INE148I01020,POLICYBAZAAR (PB FINTECH),475,1714.8913,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00087,INE129A01019,GAIL (INDIA),1000,192.3365,2026-06-03,2026-06-04,T1,BRK-001,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00088,INE124N01016,ANGEL ONE,75,2149.8558,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00089,INE917I01010,AVENUE SUPERMARTS (DMART),80,3990.7626,2026-06-03,2026-06-03,T0,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00090,INE550C01020,TV TODAY NETWORK,1600,232.3430,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00091,INE154A01025,ITC,75,451.6986,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00092,INE059B01024,RAIN INDUSTRIES,100,160.6541,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00093,INE040A01034,HDFC BANK,80,1716.8566,2026-06-03,2026-06-04,T1,BRK-006,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00094,INE021A01026,ASIAN PAINTS,400,3073.8487,2026-06-03,2026-06-03,T0,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00095,INE148I01020,POLICYBAZAAR (PB FINTECH),50,1869.6726,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00096,INE726G01019,TRENT,750,5876.2431,2026-06-03,2026-06-04,T1,BRK-002,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00097,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,325,760.0692,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00098,INE104S01021,UJJIVAN SFB,13,41.8427,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00099,INE550C01020,TV TODAY NETWORK,5000,226.5445,2026-06-03,2026-06-04,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00100,INE550C01020,TV TODAY NETWORK,10,198.5360,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00101,INE03VK01010,CARTRADE TECH,30,668.2516,2026-06-03,2026-06-04,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00102,INE092T01019,ZOMATO,1700,235.0897,2026-06-03,2026-06-03,T0,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00103,INE669E01016,BHARTI AIRTEL,550,1686.7195,2026-06-03,2026-06-04,T1,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00104,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,65,1253.4797,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00105,INE259A01022,GODREJ CONSUMER PRODUCTS,40,1294.2954,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00106,INE129A01019,GAIL (INDIA),700,179.0837,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00107,INE795G01014,POWER GRID CORPORATION,130,312.6822,2026-06-03,2026-06-03,T0,BRK-006,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00108,INE03VK01010,CARTRADE TECH,800,658.3801,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00109,INE238A01034,AXIS BANK,7500,1192.5833,2026-06-03,2026-06-04,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00110,INE550C01020,TV TODAY NETWORK,200,203.8884,2026-06-03,2026-06-04,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00111,INE148I01020,POLICYBAZAAR (PB FINTECH),2,1836.0384,2026-06-03,2026-06-03,T0,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00112,INE00WK01013,ROUTE MOBILE,90,1351.7893,2026-06-03,2026-06-04,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00113,INE628A01036,ULTRATECH CEMENT,250,10783.7855,2026-06-03,2026-06-04,T1,BRK-006,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00114,INE021A01026,ASIAN PAINTS,10,2907.4727,2026-06-03,2026-06-04,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00115,INE528G01035,SHRIRAM FINANCE,7500,2672.3060,2026-06-03,2026-06-04,T1,BRK-006,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00116,INE585B01010,MARUTI SUZUKI,750,12700.6770,2026-06-03,2026-06-04,T1,BRK-001,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00117,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,800,748.6376,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00118,INE090A01021,ICICI BANK,90,1256.1340,2026-06-03,2026-06-04,T1,BRK-006,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00119,INE121A01024,CHOLAMANDALAM INVESTMENT,8500,1471.0854,2026-06-03,2026-06-04,T1,BRK-001,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00120,INE062A01020,STATE BANK OF INDIA,2200,854.4677,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00121,INE917I01010,AVENUE SUPERMARTS (DMART),900,3787.1505,2026-06-03,2026-06-03,T0,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00122,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,15,693.0522,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00123,INE528G01035,SHRIRAM FINANCE,400,2543.7830,2026-06-03,2026-06-04,T1,BRK-005,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00124,INE040A01034,HDFC BANK,95,1711.6308,2026-06-03,2026-06-04,T1,BRK-002,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00125,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,60,798.3523,2026-06-03,2026-06-04,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00126,INE044A01036,DABUR INDIA,20,614.3267,2026-06-03,2026-06-04,T1,BRK-003,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00127,INE021A01026,ASIAN PAINTS,1200,2801.8317,2026-06-03,2026-06-04,T1,BRK-002,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00128,INE090A01021,ICICI BANK,600,1212.9090,2026-06-03,2026-06-04,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00129,INE00WK01013,ROUTE MOBILE,5,1339.3525,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00130,INE550C01020,TV TODAY NETWORK,750,219.7163,2026-06-03,2026-06-04,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00131,INE397D01024,BHARAT FORGE,1400,1172.1780,2026-06-03,2026-06-04,T1,BRK-006,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00132,INE483S01020,LATENT VIEW ANALYTICS,8,467.4316,2026-06-03,2026-06-04,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00133,INE002A01018,RELIANCE INDUSTRIES,90,2836.8341,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00134,INE545U01014,NAZARA TECHNOLOGIES,50,814.6353,2026-06-03,2026-06-04,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00135,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,65,1465.4411,2026-06-03,2026-06-04,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00136,INE467B01029,TATA CONSULTANCY SERVICES,3800,3581.9903,2026-06-03,2026-06-04,T1,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00137,INE062A01020,STATE BANK OF INDIA,200,821.4087,2026-06-03,2026-06-03,T0,BRK-003,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00138,INE205A01025,SIEMENS,65,6496.4195,2026-06-03,2026-06-03,T0,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00139,INE752E01010,PIDILITE INDUSTRIES,300,2772.8849,2026-06-03,2026-06-03,T0,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00140,INE176A01028,BAJAJ FINANCE,30,7465.9045,2026-06-04,2026-06-04,T0,BRK-005,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00141,INE044A01036,DABUR INDIA,500,575.1810,2026-06-04,2026-06-05,T1,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00142,INE059B01024,RAIN INDUSTRIES,12,142.8302,2026-06-04,2026-06-05,T1,BRK-003,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00143,INE154A01025,ITC,9500,457.7158,2026-06-04,2026-06-05,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00144,INE00WK01013,ROUTE MOBILE,2000,1418.9073,2026-06-04,2026-06-05,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00145,INE397D01024,BHARAT FORGE,85,1279.2254,2026-06-04,2026-06-05,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00146,INE121A01024,CHOLAMANDALAM INVESTMENT,1200,1533.5874,2026-06-04,2026-06-05,T1,BRK-005,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00147,INE361B01024,CANARA BANK,300,102.5829,2026-06-04,2026-06-05,T1,BRK-006,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00148,INE259A01022,GODREJ CONSUMER PRODUCTS,300,1316.5479,2026-06-04,2026-06-05,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00149,INE795G01014,POWER GRID CORPORATION,900,308.8340,2026-06-04,2026-06-04,T0,BRK-003,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00150,INE576I01022,GRINDWELL NORTON,3400,2008.5484,2026-06-04,2026-06-05,T1,BRK-003,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00151,INE021A01026,ASIAN PAINTS,200,3099.9930,2026-06-04,2026-06-05,T1,BRK-002,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00152,INE101A01026,KOTAK MAHINDRA BANK,11,1925.2786,2026-06-04,2026-06-05,T1,BRK-005,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00153,INE148O01018,EID PARRY (INDIA),60,673.5100,2026-06-04,2026-06-05,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00154,INE669E01016,BHARTI AIRTEL,375,1653.8012,2026-06-04,2026-06-04,T0,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00155,INE00IN01015,PAYTM (ONE97),3500,416.7841,2026-06-04,2026-06-05,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00156,INE148I01020,POLICYBAZAAR (PB FINTECH),1200,1845.0674,2026-06-04,2026-06-05,T1,BRK-005,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00157,INE160A01022,NESTLE INDIA,85,2455.3498,2026-06-04,2026-06-05,T1,BRK-003,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00158,INE044A01036,DABUR INDIA,600,615.7131,2026-06-04,2026-06-05,T1,BRK-002,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00159,INE397D01024,BHARAT FORGE,13,1250.4014,2026-06-04,2026-06-05,T1,BRK-002,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00160,INE129A01019,GAIL (INDIA),50,176.3406,2026-06-04,2026-06-05,T1,BRK-004,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00161,INE030A01027,HINDUSTAN UNILEVER,5,2426.7772,2026-06-04,2026-06-05,T1,BRK-002,BROKER,BSE,BUY,INR,OMS,NORMAL
TRD-00162,INE917I01010,AVENUE SUPERMARTS (DMART),50,3718.8201,2026-06-04,2026-06-05,T1,BRK-001,BROKER,NSE,SELL,INR,OMS,NORMAL
TRD-00163,INE047A01021,TITAN COMPANY,20,3434.6751,2026-06-04,2026-06-05,T1,BRK-005,BROKER,BSE,SELL,INR,OMS,NORMAL
TRD-00164,INE205A01025,SIEMENS,1200,6331.4970,2026-06-04,2026-06-05,T1,BRK-001,BROKER,NSE,BUY,INR,OMS,NORMAL
TRD-00165,INE216A01030,BHARAT ELECTRONICS,3200,282.6121,2026-06-04,2026-06-05,T1,BRK-004,BROKER,NSE,BUY,INR,OMS,NORMAL
