ConfirmationID,TradeRef,ISIN_Code,Scrip,Qty,Rate,TradeDay,SettleDay,Cycle,BrokerCode,BrokerName,Exchange_Code,Side,CCY,DP_ID,DP_Account
BC-TRD-00056,TRD-00056,INE044A01036,DABUR_INDIA,500,547.4443,02-Jun-2026,03-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00057,TRD-00057,INE104S01021,UJJIVAN_SFB,950,43.1663,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00058,TRD-00058,INE726G01019,TRENT,1500,5416.7331,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,BSE,S,INR,IN300484,34567890
BC-TRD-00059,TRD-00059,INE062A01020,STATE_BANK_OF_INDIA,175,846.4744,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00060,TRD-00060,INE03VK01010,CARTRADE_TECH,35,588.5120,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00061,TRD-00061,INE795G01014,POWER_GRID_CORPORATI,100,338.7147,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00062,TRD-00062,INE104S01021,UJJIVAN_SFB,2000,50.2181,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00063,TRD-00063,INE274J01014,HAPPIEST_MINDS_TECHN,5500,705.8109,02-Jun-2026,03-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00064,TRD-00064,INE274J01014,HAPPIEST_MINDS_TECHN,65,748.8445,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00065,TRD-00065,INE550C01020,TV_TODAY_NETWORK,50,228.6685,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00066,TRD-00066,INE047A01021,TITAN_COMPANY,425,3252.1512,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00067,TRD-00067,INE03VK01010,CARTRADE_TECH,950,630.7336,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00068,TRD-00068,INE585B01010,MARUTI_SUZUKI,30,12135.8112,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00069,TRD-00069,INE669E01016,BHARTI_AIRTEL,100,1589.3510,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00070,TRD-00070,INE148I01020,POLICYBAZAAR_(PB_FIN,950,1798.3549,02-Jun-2026,02-Jun-2026,T0,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00071,TRD-00071,INE062A01020,STATE_BANK_OF_INDIA,30,785.3674,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00072,TRD-00072,INE528G01035,SHRIRAM_FINANCE,650,2729.9367,02-Jun-2026,03-Jun-2026,T1,BRK-006,Axis Securities,BSE,S,INR,IN302679,67890123
BC-TRD-00073,TRD-00073,INE545U01014,NAZARA_TECHNOLOGIES,100,756.7763,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN309757,45670901
BC-TRD-00074,TRD-00074,INE090A01021,ICICI_BANK,950,1156.8394,02-Jun-2026,03-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00075,TRD-00075,INE483S01020,LATENT_VIEW_ANALYTIC,300,539.6335,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00076,TRD-00076,INE545U01014,NAZARA_TECHNOLOGIES,6000,819.4192,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00077,TRD-00077,INE585B01010,MARUTI_SUZUKI,650,12938.9924,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00078,TRD-00078,INE148I01020,POLICYBAZAAR_(PB_FIN,400,1891.0554,02-Jun-2026,02-Jun-2026,T0,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00079,TRD-00079,INE124N01016,ANGEL_ONE,7000,2127.1020,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00080,TRD-00080,INE761H01022,AFFLE_(INDIA),1000,1090.7116,02-Jun-2026,03-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN307774,56789112
BC-TRD-00081,TRD-00081,INE467B01029,TATA_CONSULTANCY_SER,20,3583.5958,02-Jun-2026,03-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00082,TRD-00082,INE545U01014,NAZARA_TECHNOLOGIES,700,891.9031,02-Jun-2026,03-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00083,TRD-00083,INE148I01020,POLICYBAZAAR_(PB_FIN,500,1752.4723,02-Jun-2026,03-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00084,TRD-00084,INE154A01025,ITC,1700,443.3586,02-Jun-2026,03-Jun-2026,T1,BRK-001,Zerodha Securities,BSE,S,INR,IN300513,12345678
BC-TRD-00085,TRD-00085,INE917I01010,AVENUE_SUPERMARTS_(D,150,3869.2903,02-Jun-2026,03-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00086,TRD-00086,INE148I01020,POLICYBAZAAR_(PB_FIN,475,1714.8913,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00087,TRD-00087,INE129A01019,GAIL_(INDIA),1000,192.3365,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,BSE,S,INR,IN300513,12345678
BC-TRD-00088,TRD-00088,INE124N01016,ANGEL_ONE,75,2149.8558,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00089,TRD-00089,INE917I01010,AVENUE_SUPERMARTS_(D,80,3901.1094,03-Jun-2026,03-Jun-2026,T0,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00090,TRD-00090,INE550C01020,TV_TODAY_NETWORK,1600,232.3430,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00091,TRD-00091,INE154A01025,ITC,75,451.6986,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00092,TRD-00092,INE059B01024,RAIN_INDUSTRIES,100,160.6541,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00093,TRD-00093,INE040A01034,HDFC_BANK,80,1716.8566,03-Jun-2026,04-Jun-2026,T1,BRK-006,Axis Securities,BSE,S,INR,IN302679,67890123
BC-TRD-00094,TRD-00094,INE021A01026,ASIAN_PAINTS,400,3073.8487,03-Jun-2026,03-Jun-2026,T0,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00095,TRD-00095,INE148I01020,POLICYBAZAAR_(PB_FIN,50,1869.6726,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300727,45778901
BC-TRD-00096,TRD-00096,INE726G01019,TRENT,750,5876.2431,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,BSE,S,INR,IN301549,23456789
BC-TRD-00097,TRD-00097,INE274J01014,HAPPIEST_MINDS_TECHN,325,760.0692,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00098,TRD-00098,INE104S01021,UJJIVAN_SFB,13,41.8427,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00099,TRD-00099,INE550C01020,TV_TODAY_NETWORK,4350,226.5445,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00100,TRD-00100,INE550C01020,TV_TODAY_NETWORK,10,198.5360,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00101,TRD-00101,INE03VK01010,CARTRADE_TECH,30,668.2516,03-Jun-2026,04-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00102,TRD-00102,INE092T01019,ZOMATO,1700,235.0897,03-Jun-2026,03-Jun-2026,T0,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00103,TRD-00103,INE669E01016,BHARTI_AIRTEL,515,1686.7195,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,S,INR,IN301774,56789012
BC-TRD-00104,TRD-00104,INE03YQ01011,CLEAN_SCIENCE_&_TECH,65,1253.4797,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301574,56789012
BC-TRD-00105,TRD-00105,INE259A01022,GODREJ_CONSUMER_PROD,40,1294.2954,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00106,TRD-00106,INE129A01019,GAIL_(INDIA),700,179.0837,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00107,TRD-00107,INE795G01014,POWER_GRID_CORPORATI,130,312.6822,03-Jun-2026,03-Jun-2026,T0,BRK-006,Axis Securities,BSE,B,INR,IN302679,67890123
BC-TRD-00108,TRD-00108,INE03VK01010,CARTRADE_TECH,800,658.3801,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00109,TRD-00109,INE238A01034,AXIS_BANK,7500,1192.5833,03-Jun-2026,04-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00110,TRD-00110,INE550C01020,TV_TODAY_NETWORK,200,203.8884,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00111,TRD-00111,INE148I01020,POLICYBAZAAR_(PB_FIN,2,1836.0384,03-Jun-2026,03-Jun-2026,T0,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00112,TRD-00112,INE00WK01013,ROUTE_MOBILE,90,1351.7893,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00113,TRD-00113,INE628A01036,ULTRATECH_CEMENT,250,10783.7855,03-Jun-2026,04-Jun-2026,T1,BRK-006,Axis Securities,BSE,B,INR,IN302679,67890123
BC-TRD-00114,TRD-00114,INE021A01026,ASIAN_PAINTS,10,2955.3746,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,NSE,B,INR,IN301549,23456789
BC-TRD-00115,TRD-00115,INE528G01035,SHRIRAM_FINANCE,7500,2672.3060,03-Jun-2026,04-Jun-2026,T1,BRK-006,Axis Securities,BSE,B,INR,IN302679,67890123
BC-TRD-00116,TRD-00116,INE585B01010,MARUTI_SUZUKI,750,12700.6770,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,BSE,B,INR,IN300513,12345678
BC-TRD-00117,TRD-00117,INE274J01014,HAPPIEST_MINDS_TECHN,800,748.6376,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,S,INR,IN300757,45678901
BC-TRD-00118,TRD-00118,INE090A01021,ICICI_BANK,90,1256.1340,03-Jun-2026,04-Jun-2026,T1,BRK-006,Axis Securities,BSE,B,INR,IN302679,67890123
BC-TRD-00119,TRD-00119,INE121A01024,CHOLAMANDALAM_INVEST,8500,1471.0854,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,BSE,S,INR,IN300513,12345678
BC-TRD-00120,TRD-00120,INE062A01020,STATE_BANK_OF_INDIA,2200,854.4677,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00121,TRD-00121,INE917I01010,AVENUE_SUPERMARTS_(D,900,3787.1505,03-Jun-2026,03-Jun-2026,T0,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00122,TRD-00122,INE274J01014,HAPPIEST_MINDS_TECHN,15,693.0522,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,B,INR,IN300513,12345678
BC-TRD-00123,TRD-00123,INE528G01035,SHRIRAM_FINANCE,400,2543.7830,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,B,INR,IN301774,56789012
BC-TRD-00124,TRD-00124,INE040A01034,HDFC_BANK,95,1711.6308,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,BSE,S,INR,IN301549,23456789
BC-TRD-00125,TRD-00125,INE274J01014,HAPPIEST_MINDS_TECHN,60,798.3523,03-Jun-2026,04-Jun-2026,T1,BRK-003,HDFC Securities,NSE,B,INR,IN300484,34567890
BC-TRD-00126,TRD-00126,INE044A01036,DABUR_INDIA,20,614.3267,03-Jun-2026,04-Jun-2026,T1,BRK-003,HDFC Securities,BSE,S,INR,IN300484,34567890
BC-TRD-00127,TRD-00127,INE021A01026,ASIAN_PAINTS,1200,2801.8317,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,BSE,S,INR,IN301149,23406789
BC-TRD-00128,TRD-00128,INE090A01021,ICICI_BANK,600,1212.9090,03-Jun-2026,04-Jun-2026,T1,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
BC-TRD-00129,TRD-00129,INE00WK01013,ROUTE_MOBILE,5,1339.3525,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,B,INR,IN301774,56789012
BC-TRD-00130,TRD-00130,INE550C01020,TV_TODAY_NETWORK,750,219.7163,03-Jun-2026,04-Jun-2026,T1,BRK-004,Kotak Securities,NSE,B,INR,IN300757,45678901
BC-TRD-00131,TRD-00131,INE397D01024,BHARAT_FORGE,1400,1172.1780,03-Jun-2026,04-Jun-2026,T1,BRK-006,Axis Securities,BSE,B,INR,IN302679,67890123
BC-TRD-00132,TRD-00132,INE483S01020,LATENT_VIEW_ANALYTIC,8,467.4316,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,NSE,S,INR,IN301774,56789012
BC-TRD-00133,TRD-00133,INE002A01018,RELIANCE_INDUSTRIES,90,2836.8341,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,B,INR,IN300513,12345678
BC-TRD-00134,TRD-00134,INE545U01014,NAZARA_TECHNOLOGIES,50,814.6353,03-Jun-2026,04-Jun-2026,T1,BRK-002,ICICI Securities,NSE,S,INR,IN301549,23456789
BC-TRD-00135,TRD-00135,INE03YQ01011,CLEAN_SCIENCE_&_TECH,65,1465.4411,03-Jun-2026,04-Jun-2026,T1,BRK-001,Zerodha Securities,NSE,S,INR,IN300513,12345678
BC-TRD-00136,TRD-00136,INE467B01029,TATA_CONSULTANCY_SER,3800,3581.9903,03-Jun-2026,04-Jun-2026,T1,BRK-005,Motilal Oswal Securities,BSE,S,INR,IN301774,56789012
BC-TRD-00137,TRD-00137,INE062A01020,STATE_BANK_OF_INDIA,200,821.4087,03-Jun-2026,03-Jun-2026,T0,BRK-003,HDFC Securities,BSE,S,INR,IN300484,34567890
BC-TRD-00138,TRD-00138,INE205A01025,SIEMENS,65,6496.4195,03-Jun-2026,03-Jun-2026,T0,BRK-003,HDFC Securities,NSE,S,INR,IN300484,34567890
