stmt_ref,original_trade_ref,isin,security_desc,qty,exec_price,trade_dt,settle_dt,cycle,custodian_code,custodian_name,exch,direction,ccy
CS-TRD-00018,TRD-00018,INE528G01035,SHRIRAM FINANCE,60,2708.4957,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00019,TRD-00019,INE528G01035,SHRIRAM FINANCE,225,2455.7192,2026-06-01,2026-06-02,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00020,TRD-00020,INE009A01021,INFOSYS,1000,1614.1073,2026-06-01,2026-06-01,T0,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00021,TRD-00021,INE467B01029,TATA CONSULTANCY SERVICES,45,3558.0158,2026-06-01,2026-06-02,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00022,TRD-00022,INE550C01020,TV TODAY NETWORK,4,232.6223,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00023,TRD-00023,INE03VK01010,CARTRADE TECH,4,627.5543,2026-06-01,2026-06-02,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00024,TRD-00024,INE129A01019,GAIL (INDIA),3800,181.6528,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00025,TRD-00025,INE205A01025,SIEMENS,1400,5855.9790,2026-06-01,2026-06-02,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00026,TRD-00026,INE795G01014,POWER GRID CORPORATION,70,311.0223,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00027,TRD-00027,INE528G01035,SHRIRAM FINANCE,3947,2691.8038,2026-06-01,2026-06-02,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00028,TRD-00028,INE550C01020,TV TODAY NETWORK,3000,219.5310,2026-06-01,2026-06-02,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00029,TRD-00029,INE576I01022,GRINDWELL NORTON,40,2101.8387,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00030,TRD-00030,INE018A01030,LARSEN & TOUBRO,10000,3597.4082,2026-06-01,2026-06-01,T0,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00031,TRD-00031,INE092T01019,ZOMATO,3200,229.9826,2026-06-01,2026-06-02,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00032,TRD-00032,INE104S01021,UJJIVAN SFB,70,41.0638,2026-06-01,2026-06-02,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00033,TRD-00033,INE040A01034,HDFC BANK,2500,1776.3117,2026-06-01,2026-06-02,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00034,TRD-00034,INE148O01018,EID PARRY (INDIA),10000,755.9508,2026-06-01,2026-06-02,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00035,TRD-00035,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,160,1362.5174,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00036,TRD-00036,INE059B01024,RAIN INDUSTRIES,225,139.7943,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00037,TRD-00037,INE238A01034,AXIS BANK,50,1084.6892,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00038,TRD-00038,INE019A01038,WIPRO,7000,444.3586,2026-06-01,2026-06-02,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00039,TRD-00039,INE361B01024,CANARA BANK,500,116.6831,2026-06-01,2026-06-02,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00040,TRD-00040,INE259A01022,GODREJ CONSUMER PRODUCTS,400,1243.8843,2026-06-01,2026-06-02,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00041,TRD-00041,INE467B01029,TATA CONSULTANCY SERVICES,150,3813.7937,2026-06-01,2026-06-02,T1,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00042,TRD-00042,INE467B01029,TATA CONSULTANCY SERVICES,70,3461.0648,2026-06-01,2026-06-02,T1,CUS-002,HSBC Custody & Clearing,BSE,BUY,INR
CS-TRD-00043,TRD-00043,INE160A01022,NESTLE INDIA,1100,2428.3689,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00044,TRD-00044,INE044A01036,DABUR INDIA,500,615.2947,2026-06-02,2026-06-02,T0,CUS-003,Standard Chartered Custody,BSE,BUY,INR
CS-TRD-00045,TRD-00045,INE044A01036,DABUR INDIA,20,552.1906,2026-06-02,2026-06-03,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00046,TRD-00046,INE576I01022,GRINDWELL NORTON,328,2109.8395,2026-06-02,2026-06-03,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00047,TRD-00047,INE795G01014,POWER GRID CORPORATION,2600,337.0735,2026-06-02,2026-06-03,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00048,TRD-00048,INE03VK01010,CARTRADE TECH,50,660.5381,2026-06-02,2026-06-03,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00049,TRD-00049,INE062A01020,STATE BANK OF INDIA,300,825.5365,2026-06-02,2026-06-03,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00050,TRD-00050,INE092T01019,ZOMATO,2400,241.7793,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00051,TRD-00051,INE176A01028,BAJAJ FINANCE,7500,7104.9021,2026-06-02,2026-06-02,T0,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00052,TRD-00052,INE129A01019,GAIL (INDIA),750,183.5352,2026-06-02,2026-06-03,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00053,TRD-00053,INE761H01022,AFFLE (INDIA),100,1148.8613,2026-06-02,2026-06-03,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00054,TRD-00054,INE545U01014,NAZARA TECHNOLOGIES,900,807.8576,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00055,TRD-00055,INE238A01034,AXIS BANK,40,1158.0112,2026-06-02,2026-06-03,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00056,TRD-00056,INE044A01036,DABUR INDIA,500,547.4443,2026-06-02,2026-06-03,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00057,TRD-00057,INE104S01021,UJJIVAN SFB,950,43.1663,2026-06-02,2026-06-03,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00058,TRD-00058,INE726G01019,TRENT,1500,5416.7331,2026-06-02,2026-06-03,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00059,TRD-00059,INE062A01020,STATE BANK OF INDIA,175,846.4744,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00060,TRD-00060,INE03VK01010,CARTRADE TECH,35,588.5120,2026-06-02,2026-06-03,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00061,TRD-00061,INE795G01014,POWER GRID CORPORATION,100,338.7147,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00062,TRD-00062,INE104S01021,UJJIVAN SFB,2000,50.2181,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00063,TRD-00063,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,5500,705.8109,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00064,TRD-00064,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,65,748.8445,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00065,TRD-00065,INE550C01020,TV TODAY NETWORK,50,228.6685,2026-06-02,2026-06-03,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00066,TRD-00066,INE047A01021,TITAN COMPANY,425,3252.1512,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00067,TRD-00067,INE03VK01010,CARTRADE TECH,950,630.7336,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00068,TRD-00068,INE585B01010,MARUTI SUZUKI,30,12135.8112,2026-06-02,2026-06-03,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00069,TRD-00069,INE669E01016,BHARTI AIRTEL,100,1589.3510,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00070,TRD-00070,INE148I01020,POLICYBAZAAR (PB FINTECH),950,1798.3549,2026-06-02,2026-06-02,T0,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00071,TRD-00071,INE062A01020,STATE BANK OF INDIA,30,785.3674,2026-06-02,2026-06-03,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00072,TRD-00072,INE528G01035,SHRIRAM FINANCE,650,2729.9367,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00073,TRD-00073,INE545U01014,NAZARA TECHNOLOGIES,100,756.7763,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00074,TRD-00074,INE090A01021,ICICI BANK,950,1156.8394,2026-06-02,2026-06-03,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00075,TRD-00075,INE483S01020,LATENT VIEW ANALYTICS,300,539.6335,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00076,TRD-00076,INE545U01014,NAZARA TECHNOLOGIES,6000,819.4192,2026-06-02,2026-06-03,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00077,TRD-00077,INE585B01010,MARUTI SUZUKI,650,12938.9924,2026-06-02,2026-06-03,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00078,TRD-00078,INE148I01020,POLICYBAZAAR (PB FINTECH),400,1891.0554,2026-06-02,2026-06-02,T0,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00079,TRD-00079,INE124N01016,ANGEL ONE,7000,2127.1020,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00080,TRD-00080,INE761H01022,AFFLE (INDIA),1000,1090.7116,2026-06-02,2026-06-03,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00081,TRD-00081,INE467B01029,TATA CONSULTANCY SERVICES,16,3583.5958,2026-06-02,2026-06-03,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00082,TRD-00082,INE545U01014,NAZARA TECHNOLOGIES,700,891.9031,2026-06-02,2026-06-03,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00083,TRD-00083,INE148I01020,POLICYBAZAAR (PB FINTECH),500,1752.4723,2026-06-02,2026-06-03,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00084,TRD-00084,INE154A01025,ITC,1700,443.3586,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00085,TRD-00085,INE917I01010,AVENUE SUPERMARTS (DMART),150,3869.2903,2026-06-02,2026-06-03,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00086,TRD-00086,INE148I01020,POLICYBAZAAR (PB FINTECH),475,1714.8913,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00087,TRD-00087,INE129A01019,GAIL (INDIA),1000,192.3365,2026-06-03,2026-06-04,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00088,TRD-00088,INE124N01016,ANGEL ONE,75,2149.8558,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00089,TRD-00089,INE917I01010,AVENUE SUPERMARTS (DMART),80,3898.9881,2026-06-03,2026-06-03,T0,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00090,TRD-00090,INE550C01020,TV TODAY NETWORK,1600,232.3430,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00091,TRD-00091,INE154A01025,ITC,75,451.6986,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00092,TRD-00092,INE059B01024,RAIN INDUSTRIES,100,160.6541,2026-06-03,2026-06-04,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00093,TRD-00093,INE040A01034,HDFC BANK,80,1716.8566,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00094,TRD-00094,INE021A01026,ASIAN PAINTS,400,3073.8487,2026-06-03,2026-06-03,T0,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00095,TRD-00095,INE148I01020,POLICYBAZAAR (PB FINTECH),50,1869.6726,2026-06-03,2026-06-04,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00096,TRD-00096,INE726G01019,TRENT,750,5876.2431,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00097,TRD-00097,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,325,760.0692,2026-06-03,2026-06-04,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00098,TRD-00098,INE104S01021,UJJIVAN SFB,13,41.8427,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00099,TRD-00099,INE550C01020,TV TODAY NETWORK,5568,226.5445,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00100,TRD-00100,INE550C01020,TV TODAY NETWORK,10,198.5360,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00101,TRD-00101,INE03VK01010,CARTRADE TECH,30,668.2516,2026-06-03,2026-06-04,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00102,TRD-00102,INE092T01019,ZOMATO,1700,235.0897,2026-06-03,2026-06-03,T0,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00103,TRD-00103,INE669E01016,BHARTI AIRTEL,624,1686.7195,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00104,TRD-00104,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,65,1253.4797,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00105,TRD-00105,INE259A01022,GODREJ CONSUMER PRODUCTS,40,1294.2954,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00106,TRD-00106,INE129A01019,GAIL (INDIA),700,179.0837,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00107,TRD-00107,INE795G01014,POWER GRID CORPORATION,130,312.6822,2026-06-03,2026-06-03,T0,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00108,TRD-00108,INE03VK01010,CARTRADE TECH,800,658.3801,2026-06-03,2026-06-04,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00109,TRD-00109,INE238A01034,AXIS BANK,7500,1192.5833,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00110,TRD-00110,INE550C01020,TV TODAY NETWORK,200,203.8884,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00111,TRD-00111,INE148I01020,POLICYBAZAAR (PB FINTECH),2,1836.0384,2026-06-03,2026-06-03,T0,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00112,TRD-00112,INE00WK01013,ROUTE MOBILE,90,1351.7893,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00113,TRD-00113,INE628A01036,ULTRATECH CEMENT,250,10783.7855,2026-06-03,2026-06-04,T1,CUS-003,Standard Chartered Custody,BSE,BUY,INR
CS-TRD-00114,TRD-00114,INE021A01026,ASIAN PAINTS,10,2951.9784,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00115,TRD-00115,INE528G01035,SHRIRAM FINANCE,7500,2672.3060,2026-06-03,2026-06-04,T1,BC-001,SBI Cap Securities (Custodian),BSE,BUY,INR
CS-TRD-00116,TRD-00116,INE585B01010,MARUTI SUZUKI,750,12700.6770,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,BSE,BUY,INR
CS-TRD-00117,TRD-00117,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,800,748.6376,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00118,TRD-00118,INE090A01021,ICICI BANK,90,1256.1340,2026-06-03,2026-06-04,T1,BC-001,SBI Cap Securities (Custodian),BSE,BUY,INR
CS-TRD-00119,TRD-00119,INE121A01024,CHOLAMANDALAM INVESTMENT,8500,1471.0854,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00120,TRD-00120,INE062A01020,STATE BANK OF INDIA,2200,854.4677,2026-06-03,2026-06-04,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00121,TRD-00121,INE917I01010,AVENUE SUPERMARTS (DMART),900,3787.1505,2026-06-03,2026-06-03,T0,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00122,TRD-00122,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,15,693.0522,2026-06-03,2026-06-04,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00123,TRD-00123,INE528G01035,SHRIRAM FINANCE,400,2543.7830,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00124,TRD-00124,INE040A01034,HDFC BANK,95,1711.6308,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00125,TRD-00125,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,60,798.3523,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00126,TRD-00126,INE044A01036,DABUR INDIA,20,614.3267,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00127,TRD-00127,INE021A01026,ASIAN PAINTS,1200,2801.8317,2026-06-03,2026-06-04,T1,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00128,TRD-00128,INE090A01021,ICICI BANK,600,1212.9090,2026-06-03,2026-06-04,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00129,TRD-00129,INE00WK01013,ROUTE MOBILE,5,1339.3525,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00130,TRD-00130,INE550C01020,TV TODAY NETWORK,750,219.7163,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00131,TRD-00131,INE397D01024,BHARAT FORGE,1400,1172.1780,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00132,TRD-00132,INE483S01020,LATENT VIEW ANALYTICS,8,467.4316,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00133,TRD-00133,INE002A01018,RELIANCE INDUSTRIES,90,2836.8341,2026-06-03,2026-06-04,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00134,TRD-00134,INE545U01014,NAZARA TECHNOLOGIES,50,814.6353,2026-06-03,2026-06-04,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00135,TRD-00135,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,65,1465.4411,2026-06-03,2026-06-04,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00136,TRD-00136,INE467B01029,TATA CONSULTANCY SERVICES,3800,3581.9903,2026-06-03,2026-06-04,T1,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00137,TRD-00137,INE062A01020,STATE BANK OF INDIA,200,821.4087,2026-06-03,2026-06-03,T0,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00138,TRD-00138,INE205A01025,SIEMENS,65,6496.4195,2026-06-03,2026-06-03,T0,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00139,TRD-00139,INE752E01010,PIDILITE INDUSTRIES,300,2772.8849,2026-06-03,2026-06-03,T0,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00140,TRD-00140,INE176A01028,BAJAJ FINANCE,30,7465.9045,2026-06-04,2026-06-04,T0,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00141,TRD-00141,INE044A01036,DABUR INDIA,500,575.1810,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00142,TRD-00142,INE059B01024,RAIN INDUSTRIES,12,140.3486,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00143,TRD-00143,INE154A01025,ITC,9500,457.7158,2026-06-04,2026-06-05,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00144,TRD-00144,INE00WK01013,ROUTE MOBILE,2000,1418.9073,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00145,TRD-00145,INE397D01024,BHARAT FORGE,85,1279.2254,2026-06-04,2026-06-05,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00146,TRD-00146,INE121A01024,CHOLAMANDALAM INVESTMENT,1200,1533.5874,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00147,TRD-00147,INE361B01024,CANARA BANK,300,102.5829,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00148,TRD-00148,INE259A01022,GODREJ CONSUMER PRODUCTS,300,1316.5479,2026-06-04,2026-06-05,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00149,TRD-00149,INE795G01014,POWER GRID CORPORATION,900,308.8340,2026-06-04,2026-06-04,T0,CUS-002,HSBC Custody & Clearing,BSE,BUY,INR
CS-TRD-00150,TRD-00150,INE576I01022,GRINDWELL NORTON,3400,2008.5484,2026-06-04,2026-06-05,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00151,TRD-00151,INE021A01026,ASIAN PAINTS,200,3099.9930,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00152,TRD-00152,INE101A01026,KOTAK MAHINDRA BANK,11,1925.2786,2026-06-04,2026-06-05,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
